z_mm,y_cut_mm,A_bare_Tight,A_hull_Tight,a_local_Tight,A_bare_Default,A_hull_Default,a_local_Default,A_bare_Wide,A_hull_Wide,a_local_Wide,V_submerged_Tight_cm3,V_submerged_Default_cm3,V_submerged_Wide_cm3
6.00000,-55.19200,0.59420,0.89286,0.12035,0.59420,1.45172,0.12035,0.59420,1.80281,0.12035,0.11753,0.11753,0.11753
6.50000,-54.69200,0.60920,0.91594,0.12008,0.60920,1.48501,0.12008,0.60920,1.84254,0.12008,0.12354,0.12354,0.12354
7.00000,-54.19200,0.62422,0.93905,0.11984,0.62422,1.51834,0.11984,0.62422,1.88229,0.11984,0.12954,0.12954,0.12954
7.50000,-53.69200,0.63925,0.96219,0.11962,0.63925,1.55169,0.11962,0.63925,1.92208,0.11962,0.13552,0.13552,0.13552
8.00000,-53.19200,0.65930,2.23422,0.12443,0.65930,3.08181,0.12443,0.65930,3.60318,0.12443,0.14162,0.14162,0.14162
8.50000,-52.69200,0.93296,2.42520,0.38286,0.93287,3.28771,0.38277,0.93274,3.82148,0.38265,0.15431,0.15430,0.15430
9.00000,-52.19200,1.61414,2.45841,1.04882,1.61351,3.33777,1.04819,1.61270,3.88638,1.04738,0.19010,0.19008,0.19005
9.50000,-51.69200,1.94543,2.47001,1.36603,1.94526,3.35777,1.36586,1.94491,3.91389,1.36551,0.25047,0.25043,0.25037
10.00000,-51.19200,2.01392,2.50126,1.39233,2.01348,3.38954,1.39213,2.01307,3.94619,1.39180,0.31943,0.31938,0.31931
10.50000,-50.69200,2.05588,2.54212,1.12340,2.05544,3.43040,1.12273,2.05503,3.98706,1.12187,0.38232,0.38225,0.38215
11.00000,-50.19200,2.10340,2.58902,0.47259,2.10297,3.47729,0.47246,2.10255,4.03395,0.47229,0.42222,0.42213,0.42200
11.50000,-49.69200,2.15280,2.63864,0.30147,2.15236,3.52692,0.30147,2.15195,4.08357,0.30147,0.44157,0.44148,0.44135
12.00000,-49.19200,2.20212,2.69009,0.29067,2.20169,3.57836,0.29067,2.20127,4.13502,0.29067,0.45638,0.45628,0.45615
12.50000,-48.69200,2.25125,2.74132,0.30364,2.25081,3.62960,0.30364,2.25040,4.18626,0.30364,0.47123,0.47114,0.47101
13.00000,-48.19200,2.30016,2.79293,0.31203,2.29973,3.68120,0.31203,2.29931,4.23786,0.31203,0.48663,0.48653,0.48640
13.50000,-47.69200,2.34887,2.84451,0.32008,2.34844,3.73279,0.32008,2.34802,4.29180,0.32008,0.50243,0.50233,0.50220
14.00000,-47.19200,2.39737,2.89589,0.32778,2.39694,3.78417,0.32778,2.39652,4.35853,0.32778,0.51862,0.51853,0.51840
14.50000,-46.69200,2.44567,2.94707,0.33513,2.44524,3.83535,0.33513,2.44482,4.42612,0.33513,0.53520,0.53510,0.53497
15.00000,-46.19200,2.49376,2.99804,0.34214,2.49333,3.88663,0.34214,2.49291,4.49350,0.34214,0.55213,0.55203,0.55190
15.50000,-45.69200,2.54164,3.04880,0.34881,2.54121,3.94268,0.34881,2.54079,4.56067,0.34881,0.56940,0.56931,0.56918
16.00000,-45.19200,2.58932,3.09935,0.35513,2.58889,4.00256,0.35513,2.58847,4.62764,0.35513,0.58700,0.58691,0.58677
16.50000,-44.69200,2.63679,3.14970,0.36111,2.63636,4.06264,0.36111,2.63594,4.69441,0.36111,0.60491,0.60481,0.60468
17.00000,-44.19200,2.68406,3.19985,0.36674,2.68362,4.12258,0.36674,2.68321,4.76097,0.36674,0.62310,0.62301,0.62288
17.50000,-43.69200,2.73112,3.24978,0.37202,2.73068,4.18231,0.37202,2.73027,4.82732,0.37202,0.64157,0.64148,0.64135
18.00000,-43.19200,2.77797,3.29951,0.37696,2.77753,4.24183,0.37696,2.77712,4.89346,0.37696,0.66030,0.66020,0.66007
18.50000,-42.69200,2.82354,3.34796,0.38049,2.82311,4.30008,0.38049,2.82269,4.95832,0.38049,0.67923,0.67914,0.67901
19.00000,-42.19200,2.86823,3.39553,0.38299,2.86780,4.35745,0.38299,2.86738,5.02231,0.38299,0.69832,0.69823,0.69809
19.50000,-41.69200,2.91292,3.44310,0.38536,2.91249,4.41481,0.38536,2.91207,5.08629,0.38536,0.71753,0.71743,0.71730
20.00000,-41.19200,2.95759,3.49065,0.38756,2.95715,4.47215,0.38756,2.95674,5.15025,0.38756,0.73685,0.73676,0.73663
20.50000,-40.69200,3.00206,3.53654,0.38941,3.00163,4.52553,0.38941,3.00121,5.21037,0.38941,0.75628,0.75618,0.75605
